year-month	data_source	country	term	hits	number of news
2011-11	Wikipedia	english	Spider	NA	0
2011-12	Wikipedia	english	Spider	NA	4
2011-2	Wikipedia	english	Spider	NA	3
2011-3	Wikipedia	english	Spider	NA	4
2011-4	Wikipedia	english	Spider	NA	0
2011-5	Wikipedia	english	Spider	NA	7
2011-6	Wikipedia	english	Spider	NA	6
2011-7	Wikipedia	english	Spider	NA	6
2011-8	Wikipedia	english	Spider	NA	4
2011-9	Wikipedia	english	Spider	NA	5
2012-1	Wikipedia	english	Spider	NA	2
2012-10	Wikipedia	english	Spider	NA	8
2012-11	Wikipedia	english	Spider	NA	6
2012-12	Wikipedia	english	Spider	NA	6
2012-2	Wikipedia	english	Spider	NA	4
2012-3	Wikipedia	english	Spider	NA	2
2012-4	Wikipedia	english	Spider	NA	4
2012-5	Wikipedia	english	Spider	NA	6
2012-6	Wikipedia	english	Spider	NA	18
2012-7	Wikipedia	english	Spider	NA	9
2012-8	Wikipedia	english	Spider	NA	9
2012-9	Wikipedia	english	Spider	NA	5
2013-1	Wikipedia	english	Spider	NA	6
2013-10	Wikipedia	english	Spider	NA	34
2013-11	Wikipedia	english	Spider	NA	43
2013-12	Wikipedia	english	Spider	NA	8
2013-2	Wikipedia	english	Spider	NA	11
2013-3	Wikipedia	english	Spider	NA	4
2013-4	Wikipedia	english	Spider	NA	4
2013-5	Wikipedia	english	Spider	NA	32
2013-6	Wikipedia	english	Spider	NA	6
2013-7	Wikipedia	english	Spider	NA	2
2013-8	Wikipedia	english	Spider	NA	7
2013-9	Wikipedia	english	Spider	NA	15
2014-1	Wikipedia	english	Spider	NA	9
2014-10	Wikipedia	english	Spider	NA	59
2014-11	Wikipedia	english	Spider	NA	26
2014-12	Wikipedia	english	Spider	NA	8
2014-2	Wikipedia	english	Spider	NA	11
2014-3	Wikipedia	english	Spider	NA	6
2014-4	Wikipedia	english	Spider	NA	4
2014-5	Wikipedia	english	Spider	NA	3
2014-6	Wikipedia	english	Spider	NA	4
2014-7	Wikipedia	english	Spider	NA	5
2014-8	Wikipedia	english	Spider	NA	16
2014-9	Wikipedia	english	Spider	NA	32
2015-1	Wikipedia	english	Spider	NA	4
2015-10	Wikipedia	english	Spider	96367	24
2015-11	Wikipedia	english	Spider	79419	26
2015-12	Wikipedia	english	Spider	57493	12
2015-2	Wikipedia	english	Spider	NA	4
2015-3	Wikipedia	english	Spider	NA	11
2015-4	Wikipedia	english	Spider	NA	14
2015-5	Wikipedia	english	Spider	NA	17
2015-6	Wikipedia	english	Spider	NA	26
2015-7	Wikipedia	english	Spider	74534	19
2015-8	Wikipedia	english	Spider	78729	17
2015-9	Wikipedia	english	Spider	86544	41
2016-1	Wikipedia	english	Spider	62731	10
2016-10	Wikipedia	english	Spider	143370	14
2016-11	Wikipedia	english	Spider	163221	30
2016-12	Wikipedia	english	Spider	111477	26
2016-2	Wikipedia	english	Spider	70519	16
2016-3	Wikipedia	english	Spider	183679	15
2016-4	Wikipedia	english	Spider	75607	25
2016-5	Wikipedia	english	Spider	82594	15
2016-6	Wikipedia	english	Spider	75604	6
2016-7	Wikipedia	english	Spider	61925	9
2016-8	Wikipedia	english	Spider	63824	20
2016-9	Wikipedia	english	Spider	79896	34
2017-1	Wikipedia	english	Spider	105967	19
2017-10	Wikipedia	english	Spider	155872	18
2017-11	Wikipedia	english	Spider	119489	9
2017-12	Wikipedia	english	Spider	110710	17
2017-2	Wikipedia	english	Spider	104163	18
2017-3	Wikipedia	english	Spider	115617	11
2017-4	Wikipedia	english	Spider	110487	37
2017-5	Wikipedia	english	Spider	116086	22
2017-6	Wikipedia	english	Spider	129678	41
2017-7	Wikipedia	english	Spider	148673	38
2017-8	Wikipedia	english	Spider	142179	38
2017-9	Wikipedia	english	Spider	182008	32
2018-1	Wikipedia	english	Spider	136068	19
2018-10	Wikipedia	english	Spider	147783	33
2018-11	Wikipedia	english	Spider	199702	15
2018-12	Wikipedia	english	Spider	117747	11
2018-2	Wikipedia	english	Spider	127799	11
2018-3	Wikipedia	english	Spider	148325	26
2018-4	Wikipedia	english	Spider	128583	10
2018-5	Wikipedia	english	Spider	141234	23
2018-6	Wikipedia	english	Spider	120921	22
2018-7	Wikipedia	english	Spider	134911	48
2018-8	Wikipedia	english	Spider	132405	15
2018-9	Wikipedia	english	Spider	124848	25
2019-1	Wikipedia	english	Spider	141187	17
2019-10	Wikipedia	english	Spider	133925	27
2019-11	Wikipedia	english	Spider	110931	15
2019-12	Wikipedia	english	Spider	101015	18
2019-2	Wikipedia	english	Spider	127878	4
2019-3	Wikipedia	english	Spider	133922	16
2019-4	Wikipedia	english	Spider	144755	14
2019-5	Wikipedia	english	Spider	121696	10
2019-6	Wikipedia	english	Spider	130684	15
2019-7	Wikipedia	english	Spider	168498	45
2019-8	Wikipedia	english	Spider	338611	46
2019-9	Wikipedia	english	Spider	148048	32
2020-1	Wikipedia	english	Spider	119823	9
2020-10	Wikipedia	english	Spider	112020	2
2020-11	Wikipedia	english	Spider	83637	8
2020-12	Wikipedia	english	Spider	72015	5
2020-2	Wikipedia	english	Spider	112147	2
2020-3	Wikipedia	english	Spider	119004	3
2020-4	Wikipedia	english	Spider	163388	1
2020-5	Wikipedia	english	Spider	116643	1
2020-6	Wikipedia	english	Spider	99936	NA
2020-7	Wikipedia	english	Spider	95419	NA
2020-8	Wikipedia	english	Spider	99177	NA
2020-9	Wikipedia	english	Spider	97646	NA
2010-1	Wikipedia	english	Spider bite	NA	2
2010-10	Wikipedia	english	Spider bite	NA	2
2010-11	Wikipedia	english	Spider bite	NA	3
2010-12	Wikipedia	english	Spider bite	NA	0
2010-2	Wikipedia	english	Spider bite	NA	2
2010-3	Wikipedia	english	Spider bite	NA	1
2010-4	Wikipedia	english	Spider bite	NA	1
2010-5	Wikipedia	english	Spider bite	NA	6
2010-6	Wikipedia	english	Spider bite	NA	1
2010-7	Wikipedia	english	Spider bite	NA	2
2010-8	Wikipedia	english	Spider bite	NA	3
2010-9	Wikipedia	english	Spider bite	NA	4
2011-1	Wikipedia	english	Spider bite	NA	3
2011-10	Wikipedia	english	Spider bite	NA	2
2011-11	Wikipedia	english	Spider bite	NA	0
2011-12	Wikipedia	english	Spider bite	NA	4
2011-2	Wikipedia	english	Spider bite	NA	3
2011-3	Wikipedia	english	Spider bite	NA	4
2011-4	Wikipedia	english	Spider bite	NA	0
2011-5	Wikipedia	english	Spider bite	NA	7
2011-6	Wikipedia	english	Spider bite	NA	6
2011-7	Wikipedia	english	Spider bite	NA	6
2011-8	Wikipedia	english	Spider bite	NA	4
2011-9	Wikipedia	english	Spider bite	NA	5
2012-1	Wikipedia	english	Spider bite	NA	2
2012-10	Wikipedia	english	Spider bite	NA	8
2012-11	Wikipedia	english	Spider bite	NA	6
2012-12	Wikipedia	english	Spider bite	NA	6
2012-2	Wikipedia	english	Spider bite	NA	4
2012-3	Wikipedia	english	Spider bite	NA	2
2012-4	Wikipedia	english	Spider bite	NA	4
2012-5	Wikipedia	english	Spider bite	NA	6
2012-6	Wikipedia	english	Spider bite	NA	18
2012-7	Wikipedia	english	Spider bite	NA	9
2012-8	Wikipedia	english	Spider bite	NA	9
2012-9	Wikipedia	english	Spider bite	NA	5
2013-1	Wikipedia	english	Spider bite	NA	6
2013-10	Wikipedia	english	Spider bite	NA	34
2013-11	Wikipedia	english	Spider bite	NA	43
2013-12	Wikipedia	english	Spider bite	NA	8
2013-2	Wikipedia	english	Spider bite	NA	11
2013-3	Wikipedia	english	Spider bite	NA	4
2013-4	Wikipedia	english	Spider bite	NA	4
2013-5	Wikipedia	english	Spider bite	NA	32
2013-6	Wikipedia	english	Spider bite	NA	6
2013-7	Wikipedia	english	Spider bite	NA	2
2013-8	Wikipedia	english	Spider bite	NA	7
2013-9	Wikipedia	english	Spider bite	NA	15
2014-1	Wikipedia	english	Spider bite	NA	9
2014-10	Wikipedia	english	Spider bite	NA	59
2014-11	Wikipedia	english	Spider bite	NA	26
2014-12	Wikipedia	english	Spider bite	NA	8
2014-2	Wikipedia	english	Spider bite	NA	11
2014-3	Wikipedia	english	Spider bite	NA	6
2014-4	Wikipedia	english	Spider bite	NA	4
2014-5	Wikipedia	english	Spider bite	NA	3
2014-6	Wikipedia	english	Spider bite	NA	4
2014-7	Wikipedia	english	Spider bite	NA	5
2014-8	Wikipedia	english	Spider bite	NA	16
2014-9	Wikipedia	english	Spider bite	NA	32
2015-1	Wikipedia	english	Spider bite	NA	4
2015-10	Wikipedia	english	Spider bite	383916	24
2015-11	Wikipedia	english	Spider bite	269293	26
2015-12	Wikipedia	english	Spider bite	171296	12
2015-2	Wikipedia	english	Spider bite	NA	4
2015-3	Wikipedia	english	Spider bite	NA	11
2015-4	Wikipedia	english	Spider bite	NA	14
2015-5	Wikipedia	english	Spider bite	NA	17
2015-6	Wikipedia	english	Spider bite	NA	26
2015-7	Wikipedia	english	Spider bite	415269	19
2015-8	Wikipedia	english	Spider bite	420272	17
2015-9	Wikipedia	english	Spider bite	460221	41
2016-1	Wikipedia	english	Spider bite	173846	10
2016-10	Wikipedia	english	Spider bite	339829	14
2016-11	Wikipedia	english	Spider bite	297349	30
2016-12	Wikipedia	english	Spider bite	204194	26
2016-2	Wikipedia	english	Spider bite	178071	16
2016-3	Wikipedia	english	Spider bite	321818	15
2016-4	Wikipedia	english	Spider bite	250918	25
2016-5	Wikipedia	english	Spider bite	292683	15
2016-6	Wikipedia	english	Spider bite	317016	6
2016-7	Wikipedia	english	Spider bite	289165	9
2016-8	Wikipedia	english	Spider bite	327041	20
2016-9	Wikipedia	english	Spider bite	372491	34
2017-1	Wikipedia	english	Spider bite	199936	19
2017-10	Wikipedia	english	Spider bite	341942	18
2017-11	Wikipedia	english	Spider bite	250387	9
2017-12	Wikipedia	english	Spider bite	204427	17
2017-2	Wikipedia	english	Spider bite	203655	18
2017-3	Wikipedia	english	Spider bite	246262	11
2017-4	Wikipedia	english	Spider bite	330741	37
2017-5	Wikipedia	english	Spider bite	334359	22
2017-6	Wikipedia	english	Spider bite	411168	41
2017-7	Wikipedia	english	Spider bite	416952	38
2017-8	Wikipedia	english	Spider bite	388499	38
2017-9	Wikipedia	english	Spider bite	411816	32
2018-1	Wikipedia	english	Spider bite	233770	19
2018-10	Wikipedia	english	Spider bite	366762	33
2018-11	Wikipedia	english	Spider bite	331875	15
2018-12	Wikipedia	english	Spider bite	212733	11
2018-2	Wikipedia	english	Spider bite	216518	11
2018-3	Wikipedia	english	Spider bite	281353	26
2018-4	Wikipedia	english	Spider bite	279318	10
2018-5	Wikipedia	english	Spider bite	369529	23
2018-6	Wikipedia	english	Spider bite	391469	22
2018-7	Wikipedia	english	Spider bite	491213	48
2018-8	Wikipedia	english	Spider bite	444426	15
2018-9	Wikipedia	english	Spider bite	419593	25
2019-1	Wikipedia	english	Spider bite	233404	17
2019-10	Wikipedia	english	Spider bite	313368	27
2019-11	Wikipedia	english	Spider bite	216640	15
2019-12	Wikipedia	english	Spider bite	194418	18
2019-2	Wikipedia	english	Spider bite	295821	4
2019-3	Wikipedia	english	Spider bite	235694	16
2019-4	Wikipedia	english	Spider bite	284411	14
2019-5	Wikipedia	english	Spider bite	306101	10
2019-6	Wikipedia	english	Spider bite	356526	15
2019-7	Wikipedia	english	Spider bite	416695	45
2019-8	Wikipedia	english	Spider bite	584695	46
2019-9	Wikipedia	english	Spider bite	383600	32
2020-1	Wikipedia	english	Spider bite	204418	9
2020-10	Wikipedia	english	Spider bite	292778	2
2020-11	Wikipedia	english	Spider bite	203107	8
2020-12	Wikipedia	english	Spider bite	168067	5
2020-2	Wikipedia	english	Spider bite	184878	2
2020-3	Wikipedia	english	Spider bite	217219	3
2020-4	Wikipedia	english	Spider bite	306644	1
2020-5	Wikipedia	english	Spider bite	326579	1
2020-6	Wikipedia	english	Spider bite	315443	NA
2020-7	Wikipedia	english	Spider bite	316544	NA
2020-8	Wikipedia	english	Spider bite	335377	NA
2020-9	Wikipedia	english	Spider bite	329658	NA
