year-month	data_source	country	term	hits	number of news
2020-4	iNaturalist	Canada	Araneae	1298	0
2020-5	iNaturalist	Canada	Araneae	2792	0
2020-6	iNaturalist	Canada	Araneae	5048	0
2020-7	iNaturalist	Canada	Araneae	8666	0
2020-8	iNaturalist	Canada	Araneae	10182	0
2020-9	iNaturalist	Canada	Araneae	10506	0
2010-1	iNaturalist	US	Araneae	1	0
2010-10	iNaturalist	US	Araneae	0	0
2010-11	iNaturalist	US	Araneae	2	1
2010-12	iNaturalist	US	Araneae	1	0
2010-2	iNaturalist	US	Araneae	0	1
2010-3	iNaturalist	US	Araneae	5	1
2010-4	iNaturalist	US	Araneae	1	0
2010-5	iNaturalist	US	Araneae	7	4
2010-6	iNaturalist	US	Araneae	3	1
2010-7	iNaturalist	US	Araneae	1	0
2010-8	iNaturalist	US	Araneae	1	1
2010-9	iNaturalist	US	Araneae	6	2
2011-1	iNaturalist	US	Araneae	3	0
2011-10	iNaturalist	US	Araneae	54	0
2011-11	iNaturalist	US	Araneae	13	0
2011-12	iNaturalist	US	Araneae	23	3
2011-2	iNaturalist	US	Araneae	10	2
2011-3	iNaturalist	US	Araneae	16	3
2011-4	iNaturalist	US	Araneae	11	0
2011-5	iNaturalist	US	Araneae	19	5
2011-6	iNaturalist	US	Araneae	14	2
2011-7	iNaturalist	US	Araneae	40	5
2011-8	iNaturalist	US	Araneae	25	2
2011-9	iNaturalist	US	Araneae	40	4
2012-1	iNaturalist	US	Araneae	11	1
2012-10	iNaturalist	US	Araneae	121	4
2012-11	iNaturalist	US	Araneae	47	1
2012-12	iNaturalist	US	Araneae	43	5
2012-2	iNaturalist	US	Araneae	11	2
2012-3	iNaturalist	US	Araneae	21	1
2012-4	iNaturalist	US	Araneae	50	1
2012-5	iNaturalist	US	Araneae	57	5
2012-6	iNaturalist	US	Araneae	50	8
2012-7	iNaturalist	US	Araneae	61	5
2012-8	iNaturalist	US	Araneae	99	4
2012-9	iNaturalist	US	Araneae	93	2
2013-1	iNaturalist	US	Araneae	66	4
2013-10	iNaturalist	US	Araneae	286	3
2013-11	iNaturalist	US	Araneae	206	13
2013-12	iNaturalist	US	Araneae	86	3
2013-2	iNaturalist	US	Araneae	68	6
2013-3	iNaturalist	US	Araneae	79	2
2013-4	iNaturalist	US	Araneae	146	2
2013-5	iNaturalist	US	Araneae	284	17
2013-6	iNaturalist	US	Araneae	205	3
2013-7	iNaturalist	US	Araneae	313	2
2013-8	iNaturalist	US	Araneae	257	5
2013-9	iNaturalist	US	Araneae	340	7
2014-1	iNaturalist	US	Araneae	91	2
2014-10	iNaturalist	US	Araneae	476	22
2014-11	iNaturalist	US	Araneae	354	10
2014-12	iNaturalist	US	Araneae	179	3
2014-2	iNaturalist	US	Araneae	120	7
2014-3	iNaturalist	US	Araneae	243	1
2014-4	iNaturalist	US	Araneae	309	1
2014-5	iNaturalist	US	Araneae	386	0
2014-6	iNaturalist	US	Araneae	323	2
2014-7	iNaturalist	US	Araneae	433	1
2014-8	iNaturalist	US	Araneae	467	6
2014-9	iNaturalist	US	Araneae	591	3
2015-1	iNaturalist	US	Araneae	176	0
2015-10	iNaturalist	US	Araneae	1058	5
2015-11	iNaturalist	US	Araneae	811	7
2015-12	iNaturalist	US	Araneae	431	0
2015-2	iNaturalist	US	Araneae	224	0
2015-3	iNaturalist	US	Araneae	426	5
2015-4	iNaturalist	US	Araneae	544	7
2015-5	iNaturalist	US	Araneae	902	8
2015-6	iNaturalist	US	Araneae	701	9
2015-7	iNaturalist	US	Araneae	869	2
2015-8	iNaturalist	US	Araneae	914	6
2015-9	iNaturalist	US	Araneae	1002	17
2016-1	iNaturalist	US	Araneae	394	0
2016-10	iNaturalist	US	Araneae	3391	5
2016-11	iNaturalist	US	Araneae	1918	5
2016-12	iNaturalist	US	Araneae	1184	2
2016-2	iNaturalist	US	Araneae	735	1
2016-3	iNaturalist	US	Araneae	965	1
2016-4	iNaturalist	US	Araneae	1980	2
2016-5	iNaturalist	US	Araneae	2426	3
2016-6	iNaturalist	US	Araneae	1953	2
2016-7	iNaturalist	US	Araneae	1919	5
2016-8	iNaturalist	US	Araneae	3527	7
2016-9	iNaturalist	US	Araneae	3567	6
2017-1	iNaturalist	US	Araneae	856	1
2017-10	iNaturalist	US	Araneae	6245	5
2017-11	iNaturalist	US	Araneae	3502	2
2017-12	iNaturalist	US	Araneae	2134	6
2017-2	iNaturalist	US	Araneae	1036	3
2017-3	iNaturalist	US	Araneae	2287	0
2017-4	iNaturalist	US	Araneae	5863	18
2017-5	iNaturalist	US	Araneae	4330	8
2017-6	iNaturalist	US	Araneae	4368	27
2017-7	iNaturalist	US	Araneae	5079	14
2017-8	iNaturalist	US	Araneae	5999	6
2017-9	iNaturalist	US	Araneae	7503	3
2018-1	iNaturalist	US	Araneae	1777	3
2018-10	iNaturalist	US	Araneae	13442	7
2018-11	iNaturalist	US	Araneae	8172	2
2018-12	iNaturalist	US	Araneae	3899	3
2018-2	iNaturalist	US	Araneae	2309	1
2018-3	iNaturalist	US	Araneae	4317	10
2018-4	iNaturalist	US	Araneae	8835	2
2018-5	iNaturalist	US	Araneae	10292	2
2018-6	iNaturalist	US	Araneae	10558	7
2018-7	iNaturalist	US	Araneae	11331	20
2018-8	iNaturalist	US	Araneae	12538	7
